"user.login","Year","City","Period","n_obs","n_taxa","taxa"
"eleducfleming",2020,"Boston, Massachusetts, USA","during",1,1,"49490"
"elena_rosa_lee",2021,"Garden Route, Western Cape, South Africa","during",1,1,"117899"
"eleniloves_nature",2020,"Fairfield and Westchester County, Connecticut and New York, USA","during",1,1,"148365"
"elepaio",2021,"Eugene-Springfield, Oregon, USA","during",1,1,"463837"
"elepaio",2022,"Eugene-Springfield, Oregon, USA","during",1,1,"55576"
"eliseb1",2020,"Chattanooga, Tennessee, USA","after",1,1,"460246"
"eliseb1",2020,"Chattanooga, Tennessee, USA","during",1,1,"217093"
"elisewalkerolc",2018,"Dallas-Fort Worth, Texas, USA","during",1,1,"54735"
"elissalz",2022,"Boston, Massachusetts, USA","during",2,1,"117943"
"elizabeth_morris",2021,"Brighton, Sussex, UK","during",1,1,"55553"
"elizabeth_morris",2022,"Brighton, Sussex, UK","during",2,1,"55576"
"elizabeth272",2019,"Charlotte, North Carolina, USA","before",1,1,"117943"
"elizabethbraundetorrez",2021,"Alachua County, Florida, USA","during",4,3,"49490 117867 121176"
"elizabethw2",2021,"Alachua County, Florida, USA","during",1,1,"464189"
"elizatorres",2019,"Ciudad de México, México","during",4,2,"117943 155090"
"elizmyles",2019,"Charlotte, North Carolina, USA","during",1,1,"67747"
"eljuan09",2022,"Bucaramanga, Santander, Colombia","during",1,1,"229702"
"elkins456",2022,"Chur, Chur, Switzerland","before",10,6,"203807 119676 117942 54294 49490 463344 67747"
"ellaandalice",2018,"Boston, Massachusetts, USA","during",1,1,"117943"
"elle_hutchings",2019,"Cape Town, Western Cape, South Africa","during",1,1,"117899"
"elle_hutchings",2020,"Cape Town, Western Cape, South Africa","during",1,1,"55576"
"elle_hutchings",2021,"Cape Town, Western Cape, South Africa","during",1,1,"55576"
"elle_hutchings",2022,"Cape Town, Western Cape, South Africa","during",2,2,"55576 67747"
"ellieandmaddie",2022,"Bristol & Bath City Region, UK","during",1,1,"55576"
"elliemb",2018,"Boston, Massachusetts, USA","during",1,1,"117951"
"elliemedvec",2020,"Cleveland-Akron-Canton, OH, USA","during",1,1,"117943"
"elliotgreiner",2020,"Ann Arbor, Michigan, USA","during",1,1,"55576"
"elmanelman",2022,"Bristol & Bath City Region, UK","during",1,1,"55576"
"elopio",2021,"GAM, San José, Costa Rica","during",1,1,"128050"
"eloyb",2022,"Curitiba, Paraná, Brazil","during",1,1,"404864"
"eltonschwartz",2018,"Baltimore, Maryland, USA","during",1,1,"117943"
"elutken",2019,"Western NC, North Carolina, USA","during",1,1,"67747"
"elviatsh",2022,"Charlotte, North Carolina, USA","during",1,1,"148365"
"elzettek",2019,"Cape Town, Western Cape, South Africa","during",1,1,"55576"
"elzettek",2021,"Cape Town, Western Cape, South Africa","during",4,4,"117867 67747 229759 55576"
"em777",2022,"Calgary, Canada","during",3,2,"54734 54735 463984"
"ema_mohaplova",2021,"Brno, Czech Republic","during",1,1,"55576"
"emalkin",2019,"Boston, Massachusetts, USA","during",1,1,"117943"
"emariaca",2019,"Bogotá, Colombia","during",1,1,"864197"
"emidactyl",2020,"Alachua County, Florida, USA","during",1,1,"49490"
"emil200",2022,"Fairfield and Westchester County, Connecticut and New York, USA","before",1,1,"182465"
"emiliacc",2020,"Ensenada, Baja California, México","during",1,1,"60724"
"emilioabreu",2020,"Dallas-Fort Worth, Texas, USA","after",1,1,"69430"
"emily-rose",2018,"Cleveland-Akron-Canton, OH, USA","during",1,1,"174748"
"emily593",2021,"Central Taiwan, Taiwan","during",1,1,"69468"
"emilyhodgskin",2020,"Garden Route, Western Cape, South Africa","during",1,1,"83475"
"emilykeith",2018,"Baltimore, Maryland, USA","during",1,1,"155091"
"emilyn23",2021,"Charlotte, North Carolina, USA","before",1,1,"322661"
"emilyscherer",2022,"Eugene-Springfield, Oregon, USA","after",2,2,"48711 49578"
"emma_jk",2021,"Brighton, Sussex, UK","during",1,1,"55576"
"emmaaf1",2022,"Cape Town, Western Cape, South Africa","during",1,1,"117867"
"emmabennett",2018,"Bristol & Bath City Region, UK","during",4,2,"775650 55576 54757"
"emmachapman",2019,"Colorado Springs, Colorado, USA","during",1,1,"182455"
"emmadow",2021,"Austin, Texas, USA","during",1,1,"117877"
"emmanuel195",2021,"Bucaramanga, Santander, Colombia","during",1,1,"123230"
"emmarivellese",2020,"Fairfield and Westchester County, Connecticut and New York, USA","before",1,1,"117951"
"emmasabat",2022,"Fairfield and Westchester County, Connecticut and New York, USA","during",1,1,"222835"
"emmashroom",2022,"Boston, Massachusetts, USA","during",1,1,"60724"
"emmasohnemann",2020,"Copenhagen, Denmark","during",6,3,"223123 60718 222950"
"emmawillingham",2022,"Chattanooga, Tennessee, USA","during",1,1,"117867"
"emmett_kiernan",2022,"Boston, Massachusetts, USA","during",1,1,"117943"
"endora316",2022,"Cape Town, Western Cape, South Africa","during",1,1,"55576"
"enkera24",2021,"Boston, Massachusetts, USA","during",1,1,"117943"
"enrique_rebelin",2020,"Ensenada, Baja California, México","before",1,1,"148365"
"entomoangel",2018,"Bogotá, Colombia","during",2,2,"229759 55554"
"eonbruwer",2020,"Garden Route, Western Cape, South Africa","during",5,4,"67747 461903 48325 117950"
"eouslander",2021,"Baltimore, Maryland, USA","during",1,1,"182713"
"eraskin",2020,"Western NC, North Carolina, USA","during",1,1,"1035932"
"eraskin",2022,"Western NC, North Carolina, USA","before",1,1,"54294"
"eresisi",2019,"Boston, Massachusetts, USA","during",1,1,"117951"
"ericabbw",2022,"Eugene-Springfield, Oregon, USA","during",1,1,"49578"
"ericaemdon",2022,"Garden Route, Western Cape, South Africa","after",1,1,"67747"
"ericaerica",2018,"Cleveland-Akron-Canton, OH, USA","during",3,3,"117943 125773 154184"
"ericah23",2022,"Chicago, Illinois, USA","during",1,1,"117887"
"ericamax",2019,"Boston, Massachusetts, USA","during",1,1,"117943"
"ericgyllenhaal",2018,"Chicago, Illinois, USA","during",1,1,"117877"
"ericksus",2022,"Ciudad de México, México","during",7,6,"155090 175971 60724 117879 220115 117932 117887"
"ericlindgren",2022,"Western NC, North Carolina, USA","after",1,1,"48711"
"ericqiu",2022,"Boston, Massachusetts, USA","during",1,1,"182613"
"erik570",2022,"Dallas-Fort Worth, Texas, USA","during",1,1,"118245"
"erika2_6vdberg",2020,"Garden Route, Western Cape, South Africa","during",7,6,"48711 117867 461903 117950 217107 67747"
"erika366",2020,"Alachua County, Florida, USA","during",1,1,"67747"
"erikaklink",2018,"Boston, Massachusetts, USA","during",1,1,"117943"
"eriko",2022,"Chicago, Illinois, USA","during",1,1,"49490"
"erikschiff",2022,"Boston, Massachusetts, USA","during",2,2,"320843 59954"
"erin167",2021,"Baton Rouge, Louisiana, USA","during",1,1,"67747"
"erinbloomvscc",2022,"Chattanooga, Tennessee, USA","before",3,3,"54607 182679 117963"
"erininmd",2020,"Baltimore, Maryland, USA","during",2,2,"117887 117867"
"erink",2020,"Boston, Massachusetts, USA","before",1,1,"117943"
"erinngreer",2021,"Denver-Boulder Metro, Colorado, USA","after",1,1,"632126"
"ernesto4df",2021,"Brasília, Brasil","during",1,1,"463344"
"erotheray",2021,"Brighton, Sussex, UK","during",1,1,"55576"
"erotheray",2022,"Brighton, Sussex, UK","during",4,3,"55576 117943 117867"
"errimar",2021,"Adelaide, South Australia, Australia","during",1,1,"48325"
"ertaylor",2021,"Baton Rouge, Louisiana, USA","during",1,1,"227252"
"erynnr",2019,"Baltimore, Maryland, USA","during",1,1,"117943"
"esanchezc",2020,"GAM, San José, Costa Rica","during",1,1,"464189"
"esl-east",2020,"Copenhagen, Denmark","during",1,1,"55576"
"esmeralda-garcia",2021,"Dallas-Fort Worth, Texas, USA","during",1,1,"69430"
"esther_soares",2022,"Curitiba, Paraná, Brazil","during",1,1,"462122"
"esummerbell",2020,"Atlanta, Georgia, USA","before",2,2,"151767 233685"
"etaiweisman",2022,"Boston, Massachusetts, USA","during",1,1,"117943"
"eteyssier",2022,"Ciudad de México, México","during",1,1,"48325"
"ethangyllenhaal",2022,"Albuquerque, New Mexico, USA","during",2,2,"69437 123230"
"ethanstopforth",2020,"Cape Town, Western Cape, South Africa","during",1,1,"174751"
"ethantedwards",2021,"Dallas-Fort Worth, Texas, USA","before",1,1,"344442"
"ethel-w",2022,"Cape Town, Western Cape, South Africa","during",2,2,"355350 117867"
"eugenielovenature",2022,"Bristol & Bath City Region, UK","during",2,2,"55576 464002"
"euz769",2018,"Baltimore, Maryland, USA","during",1,1,"117943"
"eva_lilia",2022,"Culiacán, Sinaloa, México","during",1,1,"117942"
"eva_olsen",2021,"Boston, Massachusetts, USA","during",1,1,"117951"
"evertonconservancy",2021,"eThekwini, Kwa-Zulu Natal, South Africa","during",1,1,"48325"
"evey3",2019,"Eugene-Springfield, Oregon, USA","during",1,1,"55576"
"eviewhite",2018,"Bristol & Bath City Region, UK","during",1,1,"55576"
"explore72",2019,"Calgary, Canada","before",1,1,"174751"
"explore72",2019,"Calgary, Canada","during",1,1,"182455"
"explorer36",2019,"Cape Town, Western Cape, South Africa","during",1,1,"60724"
"ezan",2021,"Cape Town, Western Cape, South Africa","during",6,5,"355350 67747 55247 597051 117942 55554"
"ezan",2022,"Cape Town, Western Cape, South Africa","during",1,1,"117867"
"ezequielvera",2021,"Buenos Aires, Argentina","during",1,1,"117943"
"ezequielvera",2022,"Buenos Aires, Argentina","during",2,2,"464002 218571"
"faebee",2019,"Boston, Massachusetts, USA","during",1,1,"49490"
"famius1",2022,"Corpus Christi, Texas, USA","before",1,1,"227252"
"farkleberry",2022,"Austin, Texas, USA","during",7,7,"117942 48325 175247 155094 229245 510865 117867"
"fatimakirs",2019,"Cape Town, Western Cape, South Africa","during",1,1,"48325"
"fauna2",2021,"Brno, Czech Republic","during",1,1,"55576"
"faylinder",2020,"Cape Town, Western Cape, South Africa","during",2,2,"117938 992273"
"fayruzprins",2022,"Cape Town, Western Cape, South Africa","during",2,2,"55576 48325"
"fblogan",2021,"Albuquerque, New Mexico, USA","before",1,1,"212280"
"fcstraube",2018,"Curitiba, Paraná, Brazil","during",1,1,"54735"
"felicity22",2020,"Cape Town, Western Cape, South Africa","during",1,1,"60724"
"felipe206",2019,"Bogotá, Colombia","during",2,1,"67747"
"felixcollins",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",11,10,"175426 402282 446986 405329 318589 117865 123678 222936 403832 118245 355322"
"feralgoblin",2021,"Baltimore, Maryland, USA","during",1,1,"69436"
"fergus",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",1,1,"222053"
"fergus",2020,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",6,6,"182631 67747 179761 123348 229759 60724"
"fergus",2021,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",15,14,"888434 446985 175972 403848 405329 355962 406442 179761 1040929 175426 217270 512785 319389 355346"
"fermanrriquez",2019,"Ensenada, Baja California, México","during",1,1,"60724"
"fernandfang",2022,"Northern Colorado, Colorado, USA","during",1,1,"532540"
"fernandoyamanishi",2022,"Curitiba, Paraná, Brazil","during",1,1,"464189"
"fernbank_amanda",2019,"Atlanta, Georgia, USA","during",1,1,"117943"
"festofnature",2018,"Bristol & Bath City Region, UK","during",1,1,"462306"
"festofnature",2019,"Bristol & Bath City Region, UK","during",91,60,"55576 233474 462438 232665 54758 341601 233501 462437 229764 69207 228059 229442 207988 228670 404864 124439 182631 1028392 54734 117860 223123 222815 117943 123175 127051 123348 60718 462705 175780 462950 1232380 463071 154184 462306 461454 223132 632126 117987 222860 222844 463176 222838 155093 222835 222833 775650 222798 117969 222076 209662 355350 218522 216213 210315 182455 210314 69430 462951 205492 155082"
"feziwemaqwelane",2021,"Cape Town, Western Cape, South Africa","during",2,1,"55576"
"fggibbs",2022,"Western NC, North Carolina, USA","after",1,1,"59954"
"fggibbs",2022,"Western NC, North Carolina, USA","before",1,1,"59954"
"fiduciaries",2022,"Chur, Chur, Switzerland","after",1,1,"532707"
"fieldwork427",2022,"Cleveland-Akron-Canton, OH, USA","after",3,3,"69430 233685 464002"
"fifi4",2019,"Cape Town, Western Cape, South Africa","during",2,2,"117867 55554"
"fijnbosvrou",2022,"Garden Route, Western Cape, South Africa","during",1,1,"67747"
"filbertacc",2019,"Austin, Texas, USA","during",1,1,"155090"
"filee14",2021,"Albuquerque, New Mexico, USA","during",4,4,"532267 60724 224079 175944"
"filee14",2022,"Albuquerque, New Mexico, USA","during",8,7,"121176 344442 632126 194681 212280 532349 60724"
"filina0000",2020,"Austin, Texas, USA","during",1,1,"182631"
"fionaadams",2021,"Birmingham & Black Country, Midlands, UK","during",1,1,"463344"
"fionaadams",2022,"Birmingham & Black Country, Midlands, UK","during",3,3,"182455 223123 155497"
"fionahellmann",2019,"Cape Town, Western Cape, South Africa","during",2,2,"117867 55553"
"fishcreekkatie",2020,"Calgary, Canada","during",1,1,"69430"
"fishingthesky",2021,"Calgary, Canada","during",1,1,"117887"
"flamelily",2020,"Cape Town, Western Cape, South Africa","during",4,3,"55576 117867 60724"
"flerida_yamileth_pena",2022,"Cosalá, Sinaloa, México","during",1,1,"117942"
"flora123",2019,"Boston, Massachusetts, USA","during",1,1,"55576"
"florandfauna",2022,"Chur, Chur, Switzerland","during",1,1,"48325"
"flosi",2018,"Cleveland-Akron-Canton, OH, USA","before",4,3,"117943 229443 155091"
"flosi",2021,"Cleveland-Akron-Canton, OH, USA","before",1,1,"125773"
"flosi",2022,"Cleveland-Akron-Canton, OH, USA","during",1,1,"155091"
"flower_boy",2021,"Cape Town, Western Cape, South Africa","during",2,2,"154205 502154"
"flowerfarmer",2021,"Boston, Massachusetts, USA","during",1,1,"121176"
"flutterbyflutterby",2019,"Atlanta, Georgia, USA","during",1,1,"121176"
"flutterbyflutterby",2021,"Atlanta, Georgia, USA","during",10,6,"125773 117867 48325 67747 117992 221305 117892"
"flutterbyflutterby",2022,"Atlanta, Georgia, USA","during",49,22,"227252 67747 222950 125773 49490 117892 117867 48325 117887 117968 175969 630829 155495 200925 228037 117992 117980 117947 117962 60709 217270 210576 460246 148365 205689 50252 117987 69430"
"flywen",2019,"Chiayi-Yunlin, Taiwan","during",1,1,"117943"
"fmitchell",2020,"Fairfield and Westchester County, Connecticut and New York, USA","during",1,1,"117867"
"fmmonk",2021,"Atlanta, Georgia, USA","during",9,7,"151767 117951 630829 155495 117892 67747 117943 49490"
"fmmonk",2022,"Atlanta, Georgia, USA","before",3,3,"233685 54294 67747"
"fmmonk",2022,"Atlanta, Georgia, USA","during",14,12,"463344 222950 117987 151767 50252 227252 532533 117422 460246 117943 67747 182713 205846"
"fmnhallison",2020,"Atlanta, Georgia, USA","during",2,2,"217116 60724"
"fmnhallison",2022,"Atlanta, Georgia, USA","during",1,1,"148365"
"fmnheducationwil",2019,"Atlanta, Georgia, USA","during",1,1,"117943"
"fmnheducationwil",2020,"Atlanta, Georgia, USA","during",1,1,"227252"
"fmnheducationwil",2022,"Atlanta, Georgia, USA","during",5,5,"710073 182631 154184 148365 117867"
"fobhm",2022,"Adelaide, South Australia, Australia","before",1,1,"355354"
"focca",2019,"Calgary, Canada","during",1,1,"344442"
"foddles",2020,"Geelong, Victoria, Australia","during",1,1,"117867"
"fojtp",2022,"Brno, Czech Republic","during",1,1,"55576"
"folkmikedelaney",2019,"Boston, Massachusetts, USA","during",1,1,"117943"
"folkmikedelaney",2020,"Boston, Massachusetts, USA","during",4,2,"55576 117951 117943"
"fordi21",2019,"Boston, Massachusetts, USA","during",1,1,"117943"
"forest_owl",2021,"Cape Town, Western Cape, South Africa","during",1,1,"117867"
"forestboy",2020,"Garden Route, Western Cape, South Africa","during",1,1,"67747"
"forester93",2018,"Denver-Boulder Metro, Colorado, USA","during",1,1,"532267"
"foresterbabberney",2018,"Austin, Texas, USA","during",11,10,"54734 203093 227252 54758 229759 232361 117943 69430 121176 155091"
"foresterbabberney",2019,"Austin, Texas, USA","during",7,5,"55553 117874 54758 54734 50252"
"foresterbabberney",2021,"Austin, Texas, USA","during",4,4,"229759 117943 232361 182679"
"foresterbabberney",2022,"Austin, Texas, USA","during",14,9,"117942 155094 232361 117867 229759 48325 67747 148365 49490 175440 117892 55554"
"forsythia_",2021,"Boston, Massachusetts, USA","during",1,1,"60724"
"fortetwo",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",2,1,"48325 229759"
"foxandcubs",2020,"Bristol & Bath City Region, UK","during",4,3,"154129 55576 54757 632126"
"foxandcubs",2022,"Bristol & Bath City Region, UK","before",1,1,"217100"
"fplous",2022,"Boston, Massachusetts, USA","during",1,1,"60724"
"frampton_cotterell_nature",2022,"Bristol & Bath City Region, UK","during",1,1,"55576"
"francescadodson",2019,"Baltimore, Maryland, USA","during",1,1,"117889"
"franchezellainecaccam",2022,"Davao City, Philippines","during",1,1,"229702"
"francis_hannay",2021,"Cape Town, Western Cape, South Africa","during",1,1,"117943"
"franciscoyam",2018,"Bogotá, Colombia","during",1,1,"49490"
"francoise13",2020,"Northern Colorado, Colorado, USA","during",1,1,"532267"
"frankconnock",2021,"Cape Town, Western Cape, South Africa","during",1,1,"67747"
"frankiejo",2019,"Charlotte, North Carolina, USA","during",1,1,"117943"
"frannadd",2021,"Boston, Massachusetts, USA","during",3,3,"49490 203800 117943"
"franpfer",2021,"Austin, Texas, USA","before",25,19,"463344 155497 175944 175047 154107 532348 117932 232361 229759 227235 227252 229441 55553 54758 229760 50252 117865 117867 229765 117877"
"franpfer",2021,"Austin, Texas, USA","during",16,11,"117887 127119 155091 227235 117867 227252 229760 121176 55553 229759 232361 117892 117877"
"fransmanshoek2020",2020,"Garden Route, Western Cape, South Africa","during",3,3,"83475 55576 117867"
"fransmanshoekconservancy",2021,"Garden Route, Western Cape, South Africa","during",5,3,"55554 461903 57807 67747"
"freddy__henderson",2022,"Chicago, Illinois, USA","before",3,2,"233685 69430"
"friel",2020,"Birmingham Metro Area, Alabama, USA","during",1,1,"117867"
"fsanchezcr",2020,"GAM, San José, Costa Rica","during",1,1,"117951"
"fseichter",2022,"Chur, Chur, Switzerland","during",5,3,"49490 175355 60724"
"fsut",2018,"Boston, Massachusetts, USA","during",5,4,"117943 154184 148365 54735"
"fsut",2022,"Boston, Massachusetts, USA","during",1,1,"203800"
"fuligogirl",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",8,6,"229759 55553 55576 49490 355322 182455"
"fuligogirl",2021,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",11,9,"60724 55553 50252 49490 406442 182558 179761 54757 48325 67747"
"funfrog2014",2021,"Cape Town, Western Cape, South Africa","during",1,1,"55576"
"funfrog2014",2022,"Cape Town, Western Cape, South Africa","after",1,1,"60724"
"funfrog2014",2022,"Cape Town, Western Cape, South Africa","before",1,1,"49490"
"fungalfan",2018,"Denver-Boulder Metro, Colorado, USA","during",4,3,"69468 532267 182502"
"fungalfan",2019,"Denver-Boulder Metro, Colorado, USA","during",2,2,"60724 532267"
"fynbos",2022,"Cape Town, Western Cape, South Africa","during",1,1,"60724"
"fynbosforever",2019,"Cape Town, Western Cape, South Africa","during",1,1,"229759"
"fynbossie",2022,"Cape Town, Western Cape, South Africa","during",4,3,"117942 117867 67747"
"g_garcia",2021,"Ensenada, Baja California, México","during",1,1,"117863"
"g_garcia",2022,"Ensenada, Baja California, México","during",1,1,"147221"
"g_parker",2018,"Austin, Texas, USA","during",1,1,"117943"
"gabewolfe",2019,"Western NC, North Carolina, USA","during",1,1,"182682"
"gabiwabi",2020,"Boston, Massachusetts, USA","during",1,1,"117422"
"gabizaleski",2020,"Curitiba, Paraná, Brazil","during",1,1,"117971"
"gabriel1253",2022,"Curitiba, Paraná, Brazil","during",1,1,"182713"
"gabriel63",2018,"Bogotá, Colombia","during",1,1,"49490"
"gabrielaguberman",2021,"Garden Route, Western Cape, South Africa","during",6,5,"67747 461903 175758 48325 355350"
"gabriellarose123",2021,"Burlington/Winooski, Vermont, USA","during",1,1,"117943"
"gabrielle_ackemyer",2021,"Cincinnati, Ohio, USA","during",1,1,"151767"
"gabycd",2022,"Ciudad de México, México","after",1,1,"60724"
"gabymeyer",2019,"Cape Town, Western Cape, South Africa","during",1,1,"60724"
"gaelic",2019,"Boston, Massachusetts, USA","during",1,1,"117943"
"gafischer",2021,"Brasília, Brasil","before",1,1,"1393892"
"gailhagemann48",2022,"Garden Route, Western Cape, South Africa","during",1,1,"229759"
"gailtv",2022,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",3,3,"117887 55576 229759"
"galactic_bug_man",2018,"Dallas-Fort Worth, Texas, USA","during",1,1,"117877"
"galactic_bug_man",2020,"Dallas-Fort Worth, Texas, USA","during",1,1,"117887"
"galactic_bug_man",2021,"Dallas-Fort Worth, Texas, USA","during",4,3,"155090 117943 151767"
"galactic_bug_man",2022,"Dallas-Fort Worth, Texas, USA","during",6,4,"632126 117887 232361 69211"
"galago52",2020,"Garden Route, Western Cape, South Africa","during",1,1,"175845"
"garambula100",2018,"Boston, Massachusetts, USA","during",1,1,"49490"
"gaudettelaura",2020,"Alachua County, Florida, USA","during",1,1,"464189"
"gavin44",2019,"Cape Town, Western Cape, South Africa","during",1,1,"117951"
"gaynor_pearson_jenkins",2021,"Birmingham & Black Country, Midlands, UK","during",1,1,"55576"
"gbaker94",2022,"Boston, Massachusetts, USA","before",1,1,"320843"
"gbrzyn",2021,"Curitiba, Paraná, Brazil","during",1,1,"464189"
"gcart043",2022,"Tri-Cities, British Columbia, Canada","during",1,1,"118245"
"gcwarbler",2018,"Austin, Texas, USA","during",1,1,"510865"
"gcwarbler",2022,"Austin, Texas, USA","during",3,3,"174753 117887 182675"
"geelong-nature-nerd",2020,"Geelong, Victoria, Australia","during",1,1,"55576"
"gemlee33",2020,"Boston, Massachusetts, USA","during",1,1,"148365"
"generaltwitcher",2019,"Cape Town, Western Cape, South Africa","during",1,1,"179037"
"geo-reinier",2021,"Bristol & Bath City Region, UK","during",1,1,"55576"
"geoff155",2022,"Cape Town, Western Cape, South Africa","during",2,2,"117867 48325"
"geoffreidnz",2020,"Auckland, Auckland, New Zealand","during",1,1,"49490"
"geographylane",2019,"Albuquerque, New Mexico, USA","during",1,1,"344442"
"geonyzl",2020,"Davao City, Philippines","during",1,1,"175893"
"georgecuckoo",2018,"Bristol & Bath City Region, UK","during",1,1,"55576"
"georgecuckoo",2019,"Bristol & Bath City Region, UK","during",2,2,"125773 55576"
"georgecuckoo",2020,"Bristol & Bath City Region, UK","during",1,1,"123175"
"georgecuckoo",2021,"Bristol & Bath City Region, UK","during",1,1,"55576"
"georgesims",2021,"Dallas-Fort Worth, Texas, USA","during",3,3,"155090 151767 182631"
"georgia27",2018,"Boston, Massachusetts, USA","during",1,1,"117943"
"georgiej12",2020,"Boston, Massachusetts, USA","during",1,1,"117951"
"georginaheminsley",2022,"Birmingham & Black Country, Midlands, UK","during",3,3,"117887 54734 182631"
"geoswan",2019,"Boston, Massachusetts, USA","during",2,2,"200925 119669"
"geovanaslla",2021,"Curitiba, Paraná, Brazil","during",1,1,"117867"
"germansarmientocruz",2018,"Bogotá, Colombia","during",2,2,"60724 117887"
"gerrybates",2022,"Calgary, Canada","after",3,2,"532267 182461"
"gerrybates",2022,"Calgary, Canada","during",3,2,"463837 344442"
"gervel",2022,"Ciudad de México, México","during",2,2,"60724 205901"
"gfiami1",2019,"Baltimore, Maryland, USA","during",1,1,"117943"
"ghg",2020,"Geelong, Victoria, Australia","during",1,1,"67747"
"ghostburglar",2022,"Dallas-Fort Worth, Texas, USA","after",1,1,"55553"
"giepoli",2022,"Curitiba, Paraná, Brazil","during",1,1,"461903"
"giffbeaton",2019,"Atlanta, Georgia, USA","during",3,2,"227234 217145"
"giffbeaton",2020,"Atlanta, Georgia, USA","before",5,5,"550161 228055 710073 463898 462441"
"giffbeaton",2020,"Atlanta, Georgia, USA","during",4,3,"462441 228055 182701"
"giffbeaton",2021,"Atlanta, Georgia, USA","during",3,2,"125773 49490"
"giffbeaton",2022,"Atlanta, Georgia, USA","during",3,2,"217145 230263"
"gigilaidler",2019,"Cape Town, Western Cape, South Africa","during",1,1,"55576"
"gigilaidler",2020,"Cape Town, Western Cape, South Africa","during",29,9,"55576 60724 117867 124439 50252 69468 174748 117951 175712"
"gigirose",2020,"Baltimore, Maryland, USA","during",1,1,"119669"
"ginakahikatea",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",1,1,"54294"
"ginakahikatea",2020,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",1,1,"117938"
"gingerpaq",2022,"Erie, Pennsylvania, USA","during",1,1,"117943"
"gingicat",2018,"Boston, Massachusetts, USA","during",1,1,"117951"
"ginijamesclose",2022,"Bristol & Bath City Region, UK","during",1,1,"55576"
"ginna1",2019,"Bogotá, Colombia","during",1,1,"117892"
"giopuerto182",2019,"Bogotá, Colombia","during",1,1,"49490"
"giopuerto182",2022,"Bogotá, Colombia","during",1,1,"117951"
"giovannifontana",2022,"Chur, Chur, Switzerland","after",6,6,"174748 532267 154129 218461 117899 49490"
"girlsmitty",2019,"Dallas-Fort Worth, Texas, USA","during",2,2,"117971 117877"
"gisselg",2019,"Ciudad de Panamá, Panamá","after",1,1,"155093"
"gjbolling",2022,"Western NC, North Carolina, USA","after",1,1,"233685"
"gkallberg",2020,"Boston, Massachusetts, USA","during",1,1,"200925"
"glatz",2019,"Cape Town, Western Cape, South Africa","during",1,1,"60724"
"glugluglu",2022,"Copenhagen, Denmark","during",1,1,"55576"
"glurtz",2020,"Cleveland-Akron-Canton, OH, USA","during",1,1,"117943"
"gmtcollins",2022,"Baton Rouge, Louisiana, USA","during",1,1,"227252"
"gnutter",2018,"Baltimore, Maryland, USA","during",2,2,"54735 155090"
"golden_plover",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",10,9,"229759 405544 55553 174748 182558 55576 463837 60724 119888"
"gonzalezii",2019,"Ensenada, Baja California, México","during",12,5,"182502 117932 182461 209793 60724"
"goodloeerin",2019,"Baltimore, Maryland, USA","during",4,3,"125754 117943 117951 119669"
"goose378",2019,"Boston, Massachusetts, USA","during",1,1,"117943"
"gracebrindle",2020,"Brighton, Sussex, UK","during",1,1,"69211"
"gracielaalvarez",2020,"Buenos Aires, Argentina","before",1,1,"175944"
"graemelunt",2021,"Geelong, Victoria, Australia","before",1,1,"49490"
"graemelyons",2021,"Brighton, Sussex, UK","during",4,4,"229764 54758 55553 55576"
"graemelyons",2022,"Brighton, Sussex, UK","during",4,2,"55576 229764"
"grahame",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","before",1,1,"48325"
"gramajo",2022,"Albuquerque, New Mexico, USA","during",1,1,"212280"
"grammaconra",2021,"Albuquerque, New Mexico, USA","during",1,1,"175359"
"grant-jones",2020,"Cleveland-Akron-Canton, OH, USA","before",1,1,"123894"
"grant230",2022,"Baton Rouge, Louisiana, USA","during",1,1,"155091"
"grass157",2022,"Boston, Massachusetts, USA","during",3,2,"60724 117943"
"grayjeremy",2020,"Atlanta, Georgia, USA","during",1,1,"67747"
"grayson_yenser",2022,"Fort Wayne, Indiana, USA","after",1,1,"117943"
"greenbottleblue",2019,"Boston, Massachusetts, USA","during",3,1,"117943"
"greenbottleblue",2020,"Boston, Massachusetts, USA","during",1,1,"55576"
"greencolleen",2019,"Western NC, North Carolina, USA","during",2,2,"117899 67747"
"greener1975",2019,"Bristol & Bath City Region, UK","during",1,1,"182631"
"greenhousegrower",2020,"Western NC, North Carolina, USA","during",1,1,"67747"
"greenjelly50",2021,"Boston, Massachusetts, USA","before",1,1,"463344"
"greenjelly50",2021,"Boston, Massachusetts, USA","during",1,1,"59968"
"greenleafcynthia",2022,"Western NC, North Carolina, USA","during",1,1,"823668"
"greenpy",2020,"Dallas-Fort Worth, Texas, USA","before",1,1,"117877"
