"Year","City","Observations","Species","People"
2018,"Pittsburgh, PA, United States of America",4386,929,164
2018,"Miami, FL, United States of America",3758,913,199
2018,"Indianapolis, IN, United States of America",3707,630,237
2018,"The Wasatch Front (Salt Lake City), UT, United States of America",3621,643,197
2018,"San Antonio Area, TX, United States of America",3524,957,172
2018,"Boulder, CO, United States of America",3475,786,107
2018,"Minneapolis/St. Paul, MN, United States of America",3376,491,336
2018,"London, Greater London, United Kingdom",2621,737,106
2018,"São Paulo, Brazil",2521,462,156
2018,"Tokyo, Japan",2428,474,148
2018,"Omaha Metro, NE, United States of America",1931,384,188
2018,"Berlin, Germany",1791,448,334
2018,"Nashville, TN, United States of America",1661,558,137
2018,"Prague, Czech Republic",1616,438,61
2018,"Tulsa Region, OK, United States of America",1114,575,102
2018,"Curitiba, Paraná, Brazil",857,275,40
2018,"Guimarães, Norte, Portugal",238,112,105
2018,"Buenos Aires, Argentina",170,96,18
